line,subsystem,item,baseline_part_or_spec,qty,unit_inr,extended_inr,critical_requirement,substitute_rule
1,structure,Lower and upper decks,3 mm 5052 aluminium laser-cut from supplied DXF,2,1050,2100,Flat within 1.5 mm and deburred,6 mm HDPE or birch ply only for indoor prototype
2,structure,ABS cover panels,2 mm ABS sheet with printed corner blocks,1,750,750,Non-structural removable cover,Do not use brittle acrylic
3,structure,Fasteners and standoffs,M4 stainless plus M3 electronics kit,1,700,700,Thread-lock on drive hardware,Equivalent metric hardware
4,drive,Gearmotor,12 V 100 RPM 37 mm/Johnson metal gearbox encoder-compatible,2,561,1122,Matched ratio and 6 mm D shaft,100-120 RPM accepted after profile update
5,drive,Quadrature encoder kit,Two-channel Hall encoder for motor back shaft,2,250,500,Direction plus speed feedback,No single-channel speed-only encoder
6,drive,Wheel,100 mm x 40 mm rubber wheel for 6 mm shaft,2,135,270,Non-marking and concentric,Use keyed hub adapter if shaft differs
7,drive,Rear caster,75 mm rubber swivel caster,1,450,450,Low play and 45x30 mm adjustable mount,Do not use tiny furniture caster
8,drive,Motor driver,Cytron MDD10A dual 10 A or equivalent protected dual H-bridge,1,1858,1858,10 A continuous per channel and enable input,No L298N
9,control,Safety controller,RP2040 or ESP32-S3 dev board with isolated/level-shifted I/O,1,700,700,250 ms watchdog and encoder capture,STM32 equivalent accepted
10,compute,Raspberry Pi 5 4 GB,Official board,1,5799,5799,Active cooling and 5.1 V supply,Pi 4 4 GB accepted with reduced vision load
11,compute,Active cooler and endurance storage,Official cooler plus 64 GB endurance microSD,1,1200,1200,Thermal throttling test required,NVMe accepted
12,navigation,2D lidar,LD06 or LD19 class 360 degree lidar,1,6500,6500,ROS 2 driver and 8 m usable range minimum,RPLidar A1 accepted with mount adapter
13,sensing,Front camera,1080p UVC or CSI camera,1,1200,1200,Fixed focus chosen for site distance,RTSP camera accepted
14,power,Battery,12.8 V 8 Ah LiFePO4 with 15 A or higher BMS,1,4000,4000,Qualified pack and protected terminals,12 Ah uses same tray with strap adjustment
15,power,Compute DC-DC,12.8 V to regulated 5.1 V 6 A buck converter,1,900,900,Low-voltage and thermal protection,Use separate fused converter
16,power,Protection and harness,20 A main fuse; 15 A drive; 7.5 A compute; XT60; ferrules,1,1400,1400,No Dupont wiring in power path,Equivalent automotive hardware
17,safety,E-stop and drive relay,NC twist-release mushroom plus 30 A automotive relay/contactor,1,900,900,Physically removes motor power,Driver enable may be secondary
18,safety,Bumper and switches,Front bar plus three NC roller microswitches,1,700,700,Opening any switch drops drive enable,Industrial safety edge optional
19,fabrication,Printed and miscellaneous parts,Motor saddles; corner blocks; camera bracket; beacon; labels,1,1450,1450,PETG/ASA and visible drive-enabled state,Nylon accepted
TOTAL,,,,,,32499,,
